0,1,2,3,4,5
1404.0,137.0,1358.0,11.0,148.0,31.0
1382.0,116.0,1336.0,14.0,140.0,17.0
1382.0,124.0,1385.0,25.0,111.0,18.0
1460.0,122.0,1454.0,11.0,132.0,46.0
1479.0,111.0,1500.0,12.0,134.0,31.0
1660.0,621.0,1549.0,23.0,658.0,231.0
2415.0,739.0,2372.0,33.0,805.0,273.0
3060.0,696.0,3318.0,27.0,821.0,85.0
3727.0,341.0,4147.0,16.0,472.0,73.0
4062.0,628.0,4650.0,30.0,720.0,115.0
4639.0,499.0,5318.0,18.0,588.0,126.0
5085.0,258.0,5889.0,9.0,316.0,91.0
4645.0,233.0,5374.0,10.0,302.0,38.0
4094.0,177.0,4610.0,9.0,235.0,97.0
3538.0,131.0,3992.0,8.0,164.0,14.0
3215.0,170.0,3544.0,9.0,215.0,23.0
2675.0,282.0,2806.0,10.0,327.0,88.0
2375.0,273.0,2436.0,5.0,309.0,113.0
2429.0,345.0,2449.0,11.0,387.0,163.0
2692.0,483.0,2773.0,8.0,541.0,87.0
2938.0,472.0,3077.0,8.0,518.0,61.0
3293.0,219.0,3479.0,9.0,227.0,27.0
3293.0,219.0,3476.0,5.0,248.0,23.0
3125.0,180.0,3269.0,5.0,187.0,38.0
2931.0,160.0,3070.0,3.0,177.0,20.0
2521.0,138.0,2627.0,4.0,144.0,7.0
1936.0,144.0,1943.0,5.0,152.0,23.0
1518.0,151.0,1479.0,7.0,153.0,27.0
1445.0,146.0,1371.0,8.0,165.0,45.0
1423.0,179.0,1313.0,7.0,184.0,42.0
1452.0,127.0,1323.0,9.0,113.0,43.0
1436.0,110.0,1291.0,2.0,122.0,40.0
1458.0,106.0,1301.0,8.0,137.0,22.0
1424.0,69.0,1293.0,4.0,75.0,16.0
1330.0,33.0,1201.0,4.0,25.0,7.0
1190.0,40.0,1017.0,5.0,40.0,4.0
981.0,48.0,805.0,6.0,43.0,13.0
887.0,57.0,673.0,7.0,59.0,54.0
797.0,68.0,611.0,6.0,75.0,17.0
707.0,60.0,515.0,7.0,62.0,12.0
675.0,64.0,490.0,4.0,81.0,10.0
754.0,74.0,550.0,7.0,81.0,38.0
819.0,75.0,633.0,3.0,87.0,23.0
849.0,77.0,690.0,6.0,75.0,10.0
872.0,90.0,675.0,5.0,98.0,42.0
881.0,73.0,725.0,3.0,82.0,16.0
906.0,88.0,753.0,3.0,98.0,12.0
935.0,48.0,783.0,3.0,63.0,7.0
864.0,51.0,719.0,3.0,60.0,12.0
832.0,57.0,689.0,4.0,65.0,17.0
835.0,68.0,694.0,13.0,57.0,11.0
788.0,43.0,632.0,4.0,44.0,19.0
754.0,40.0,597.0,4.0,46.0,5.0
680.0,30.0,529.0,5.0,29.0,6.0
647.0,45.0,490.0,3.0,44.0,6.0
665.0,54.0,476.0,3.0,58.0,34.0
688.0,54.0,493.0,8.0,53.0,49.0
667.0,72.0,518.0,3.0,96.0,15.0
685.0,59.0,563.0,3.0,85.0,14.0
692.0,32.0,605.0,2.0,43.0,10.0
692.0,44.0,621.0,1.0,60.0,12.0
745.0,118.0,634.0,1.0,208.0,39.0
